iso3c	year	voter_turnout	vap_turnout	lne_turnout	lne_type	lne_type2	lne_parl	lne_fo	concurrent	concurrent_parl	concurrent_else	tt_next	ne_days0	ne_count	ne_count2	ne_months	first_ep	cv
CYP	2004	71.19473796375419	47.16	91.75220247121655	referendum	referendum	0	0	0	0	0	23.566666666666666	50	4	4	1.6666666666666667	1	1
CYP	2009	59.39987834087366	38.99	89.00072651210321	president	president	0	0	0	0	0	23.833333333333332	468	4	3	15.6	0	1
CYP	2014	43.974948757323915	31.49	78.69729407315279	president	president	0	0	0	0	0	24.266666666666666	455	4	3	15.166666666666666	0	1
CYP	2019	44.9924436313615	28.34	66.74362004911761	president	president	0	0	0	0	0	24.5	476	4	3	15.866666666666667	0	0
CZE	2004	28.300769543253836	30.87	57.94850592003082	referendum	referendum	0	0	0	0	0	4.866666666666666	364	4	4	12.133333333333333	1	0
CZE	2009	28.22168135831115	29.68	64.42215903534073	subnational	subnational	0	0	0	0	0	11.9	232	4	4	7.733333333333333	0	0
CZE	2014	18.204002033559448	17.57	59.43823688511718	parliament	parliament	1	1	0	0	0	4.666666666666667	211	6	5	7.033333333333333	0	0
CZE	2019	28.716839308493224	27.21	60.79245796256995	subnational	subnational	0	0	0	0	0	16.566666666666666	231	6	5	7.7	0	0
DEU	1979	65.72537293044479	NA	90.7454928626565	NA	parliament	0	0	0	0	0	16.1	980	1	1	32.666666666666664	1	0
DEU	1984	56.75968210220175	NA	89.09158046117467	parliament	parliament	1	1	0	0	0	31.733333333333334	469	2	2	15.633333333333333	0	0
DEU	1989	62.282320395531194	NA	84.33045618487935	parliament	parliament	1	1	0	0	0	17.733333333333334	875	1	1	29.166666666666668	0	0
DEU	1994	60.01847540015055	56.12	77.760737871248793	parliament	parliament	1	1	0	0	0	4.2	1288	1	1	42.93333333333333	0	0
DEU	1999	45.18889792446083	42.02	82.20017391905117	parliament	parliament	1	1	0	0	0	39.9	259	2	2	8.633333333333333	0	0
DEU	2004	42.99947242644311	39.84	79.08268420741808	parliament	parliament	1	1	0	0	0	15.4	630	1	1	21	0	0
DEU	2009	43.26964137448298	39.53	77.65246790197708	parliament	parliament	1	1	0	0	0	3.7333333333333334	1358	1	1	45.266666666666666	0	0
DEU	2014	48.136071097090486	44.57	71.52888199409495	parliament	parliament	1	1	0	0	0	40.6	245	2	2	8.166666666666666	0	0
DEU	2019	61.37594899554244	55.76	76.15090725603004	parliament	parliament	1	1	0	0	0	28.466666666666665	609	1	1	20.3	0	0
DNK	1979	47.822593742408195	48.45	87.95528953216862	referendum	referendum	0	0	0	0	0	4.6	261	4	4	8.7	1	0
DNK	1984	52.377387097168615	53.27	88.43568518905369	parliament	parliament	1	1	0	0	0	17.333333333333332	159	4	4	5.3	0	0
DNK	1989	46.17141266746	45.92	83.98641047101165	parliament	parliament	1	1	0	0	0	5.3	401	4	4	13.366666666666667	0	0
DNK	1994	52.921235791898255	52.38	82.8425936426725	subnational	subnational	0	0	0	0	0	3.466666666666667	205	5	5	6.833333333333333	0	0
DNK	1999	50.461617809683474	49.12	85.94642907676469	referendum	referendum	0	0	0	0	0	15.866666666666667	378	4	4	12.6	0	0
DNK	2004	47.8869269609733	46.37	87.14559821473449	subnational	subnational	0	0	0	0	0	8	936	2	2	31.2	0	0
DNK	2009	59.539276823346725	56.29	86.59215196921639	referendum	referendum	0	0	1	0	1	5.433333333333334	0	3	3	19.066666666666666	0	0
DNK	2014	56.3156658164565	54.21	87.73906777355383	referendum	referendum	0	0	1	0	1	12.966666666666667	0	3	3	6.233333333333333	0	0
DNK	2019	66.07660086606647	59.91	85.88588226353735	subnational	subnational	0	0	0	0	0	0.3333333333333333	551	3	3	18.366666666666667	0	0
ESP	1987	68.51937282910161	71.62	70.48949376447857	subnational	subnational	0	0	1	0	1	24.533333333333335	0	4	4	11.766666666666667	1	0
ESP	1989	54.713447098826926	57.11	70.48949376447857	NA	NA	0	0	0	0	0	4.533333333333333	736	3	3	24.533333333333335	0	0
ESP	1994	59.14019959885293	62.72	76.43707833235489	parliament	parliament	1	1	0	0	0	11.666666666666666	371	3	3	12.366666666666667	0	0
ESP	1999	63.045731803896594	67.64	77.37669746429597	subnational	subnational	0	0	1	0	1	9.1	0	2	2	39.9	0	0
ESP	2004	45.14052653192049	45.67	75.65533916904778	parliament	parliament	1	1	0	0	0	8.4	91	3	3	3.033333333333333	0	0
ESP	2009	44.89713860369694	41.89	73.84685317518552	parliament	parliament	1	1	0	0	0	23.8	455	3	3	15.166666666666666	0	0
ESP	2014	43.81361723328456	41.21	68.94016742720012	parliament	parliament	1	1	0	0	0	12.133333333333333	917	2	2	30.566666666666666	0	0
ESP	2019	60.72660209346384	55.61	75.75405615761089	subnational	subnational	0	0	1	0	1	5.6	0	4	4	0.9333333333333333	0	0
EST	2004	26.834811726590136	22.34	58.23867006934864	referendum	referendum	0	0	0	0	0	16.333333333333332	273	4	4	9.1	1	0
EST	2009	43.883983342641166	37.84	61.90775520121082	parliament	parliament	1	1	0	0	0	4.433333333333334	826	2	2	27.533333333333335	0	0
EST	2014	36.524073706933315	32.55	63.531673648321664	subnational	subnational	0	0	0	0	0	9.333333333333334	217	3	3	7.233333333333333	0	0
